x,payoff,value,delta,gamma
0.18176975858808478,0.0,0.023856986838039457,0.20752022809065718,0.663498799476443
0.18434110886583308,0.0,0.024392787443609208,0.20922126063251856,0.6596055995470849
0.18691044770350468,0.0,0.024932524885163045,0.21091106316657182,0.655791683083315
0.18947777760689796,0.0,0.02547616432538407,0.21258985285534227,0.6520543639800422
0.19204310108059208,0.0,0.02602367155391869,0.21425783962307055,0.6483910745367822
0.1946063987396365,0.0,0.026575008241345517,0.21591521236991884,0.6447993941517041
0.19716767741156216,0.0,0.027130142205118377,0.21756217051707516,0.6412769852242661
0.19972695763666728,0.0,0.0276890448681798,0.2191989159133838,0.637821603418466
0.20228424191427694,0.0,0.028251684340550975,0.22082563272316946,0.6344311241122185
0.20483953274248734,0.0,0.028818029267890892,0.22244249937999694,0.6311035131597791
